name,triangleCount
tyrion-lannister,659.0
cersei-lannister,613.0
jaime-lannister,548.0
joffrey-baratheon,515.0
sansa-stark,465.0
jon-snow,427.0
robert-baratheon,420.0
stannis-baratheon,419.0
eddard-stark,410.0
arya-stark,392.0
catelyn-stark,384.0
robb-stark,382.0
tywin-lannister,306.0
petyr-baelish,273.0
sandor-clegane,224.0
bran-stark,222.0
gregor-clegane,206.0
varys,204.0
theon-greyjoy,203.0
renly-baratheon,202.0
daenerys-targaryen,201.0
loras-tyrell,179.0
barristan-selmy,174.0
tommen-baratheon,173.0
brienne-of-tarth,167.0
pycelle,153.0
samwell-tarly,137.0
rodrik-cassel,135.0
ilyn-payne,131.0
margaery-tyrell,129.0
meryn-trant,126.0
roose-bolton,124.0
mance-rayder,116.0
mace-tyrell,107.0
lysa-arryn,103.0
janos-slynt,102.0
amory-lorch,99.0
jory-cassel,94.0
jorah-mormont,92.0
aemon-targaryen-(maester-aemon),89.0
