weight,prediction,count
3.0,3.0,374
5.0,3.0,130
51.0,3.0,2
33.0,3.0,3
67.0,3.0,1
87.0,3.0,2
101.0,3.0,1
81.0,3.0,2
6.0,3.0,88
4.0,3.0,204
11.0,3.0,13
16.0,3.0,10
9.0,3.0,43
7.0,3.0,64
17.0,3.0,10
10.0,3.0,36
12.0,3.0,27
8.0,3.0,42
21.0,3.0,5
32.0,3.0,4
25.0,3.0,4
29.0,3.0,3
13.0,3.0,12
14.0,3.0,17
20.0,3.0,5
24.0,3.0,3
28.0,3.0,1
18.0,3.0,12
19.0,3.0,6
27.0,3.0,6
42.0,3.0,1
22.0,3.0,2
31.0,3.0,2
36.0,3.0,2
64.0,3.0,1
15.0,3.0,11
44.0,3.0,1
39.0,3.0,2
80.0,3.0,1
96.0,3.0,1
75.0,3.0,1
58.0,3.0,1
26.0,3.0,2
34.0,3.0,1
43.0,3.0,3
41.0,3.0,1
30.0,3.0,3
23.0,3.0,3
92.0,3.0,1
38.0,3.0,1
70.0,3.0,1
