Source,Target,weight,prediction
colemon,gretchel,5.0,0
colemon,maddy,5.0,0
colemon,petyr-baelish,6.0,0
colemon,robert-arryn,7.0,0
colemon,vardis-egen,4.0,0
gariss,murch,5.0,0
maggy,melara-hetherspoon,3.0,0
benethon-scales,narbert-grandison,3.0,0
benethon-scales,selyse-florent,4.0,0
craster,dirk,6.0,0
craster,dywen,7.0,0
craster,eddison-tollett,3.0,0
craster,eddison-tollett,3.0,0
craster,gilly,16.0,0
craster,gilly,8.0,0
craster,grenn,3.0,0
craster,jeor-mormont,19.0,2
craster,jeor-mormont,8.0,0
craster,jeor-mormont,3.0,0
craster,jojen-reed,3.0,0
craster,jon-snow,26.0,2
craster,jon-snow,7.0,0
craster,jon-snow,3.0,0
craster,mance-rayder,4.0,0
craster,mance-rayder,6.0,0
craster,samwell-tarly,10.0,0
craster,samwell-tarly,32.0,2
craster,samwell-tarly,6.0,0
craster,thoren-smallwood,4.0,0
craster,tormund,3.0,0
hoster-tully,jaime-lannister,4.0,0
hoster-tully,lothar-frey,5.0,0
hoster-tully,lysa-arryn,3.0,0
hoster-tully,lysa-arryn,6.0,0
hoster-tully,robb-stark,4.0,0
hoster-tully,robert-baratheon,3.0,0
hoster-tully,tansy,5.0,0
hoster-tully,vyman,3.0,0
hoster-tully,vyman,4.0,0
lark,samwell-tarly,3.0,0
lark,small-paul,8.0,0
lark,softfoot,3.0,0
loras-tyrell,mace-tyrell,3.0,0
loras-tyrell,mace-tyrell,6.0,0
loras-tyrell,margaery-tyrell,10.0,0
loras-tyrell,margaery-tyrell,21.0,2
loras-tyrell,olenna-redwyne,5.0,0
loras-tyrell,osmund-kettleblack,4.0,0
loras-tyrell,osmund-kettleblack,13.0,0
loras-tyrell,petyr-baelish,5.0,0
loras-tyrell,renly-baratheon,5.0,0
loras-tyrell,renly-baratheon,14.0,0
loras-tyrell,renly-baratheon,8.0,0
loras-tyrell,robert-baratheon,4.0,0
loras-tyrell,robert-baratheon,3.0,0
loras-tyrell,rodrik-cassel,3.0,0
loras-tyrell,sandor-clegane,4.0,0
loras-tyrell,sansa-stark,14.0,0
loras-tyrell,sansa-stark,13.0,0
loras-tyrell,stannis-baratheon,4.0,0
loras-tyrell,tommen-baratheon,13.0,0
loras-tyrell,tyrion-lannister,8.0,0
loras-tyrell,tyrion-lannister,10.0,0
loras-tyrell,tyrion-lannister,3.0,0
loras-tyrell,willas-tyrell,4.0,0
hyle-hunt,meribald,9.0,0
hyle-hunt,podrick-payne,19.0,2
hyle-hunt,randyll-tarly,5.0,0
hyle-hunt,sandor-clegane,3.0,0
hyle-hunt,sansa-stark,3.0,0
alleras,armen,5.0,0
alleras,leo-tyrell,7.0,0
alleras,marwyn,3.0,0
alleras,mollander,7.0,0
alleras,pate-(novice),8.0,0
alleras,roone,6.0,0
alleras,samwell-tarly,8.0,0
bedwyck,craster,4.0,0
bedwyck,dywen,3.0,0
bedwyck,eddison-tollett,4.0,0
bedwyck,grenn,4.0,0
bedwyck,samwell-tarly,3.0,0
errok,grigg,7.0,0
errok,jon-snow,4.0,0
errok,styr,3.0,0
myrcella-baratheon,robb-stark,3.0,0
myrcella-baratheon,robert-arryn,4.0,0
myrcella-baratheon,robert-baratheon,3.0,0
myrcella-baratheon,sandor-clegane,4.0,0
myrcella-baratheon,sansa-stark,8.0,0
myrcella-baratheon,sansa-stark,6.0,0
myrcella-baratheon,sansa-stark,4.0,0
myrcella-baratheon,stannis-baratheon,3.0,0
myrcella-baratheon,sylva-santagar,4.0,0
myrcella-baratheon,tommen-baratheon,6.0,0
myrcella-baratheon,tommen-baratheon,12.0,0
myrcella-baratheon,tommen-baratheon,7.0,0
myrcella-baratheon,tommen-baratheon,3.0,0
myrcella-baratheon,tommen-baratheon,8.0,0
myrcella-baratheon,trystane-martell,4.0,0
myrcella-baratheon,trystane-martell,6.0,0
