Source,Target,Type,weight,book
addam-marbrand,jaime-lannister,Undirected,3,1
addam-marbrand,tywin-lannister,Undirected,6,1
aegon-i-targaryen,daenerys-targaryen,Undirected,5,1
aegon-i-targaryen,eddard-stark,Undirected,4,1
aemon-targaryen-(maester-aemon),alliser-thorne,Undirected,4,1
aemon-targaryen-(maester-aemon),bowen-marsh,Undirected,4,1
aemon-targaryen-(maester-aemon),chett,Undirected,9,1
aemon-targaryen-(maester-aemon),clydas,Undirected,5,1
aemon-targaryen-(maester-aemon),jeor-mormont,Undirected,13,1
aemon-targaryen-(maester-aemon),jon-snow,Undirected,34,1
aemon-targaryen-(maester-aemon),samwell-tarly,Undirected,5,1
aerys-ii-targaryen,brandon-stark,Undirected,4,1
aerys-ii-targaryen,eddard-stark,Undirected,10,1
aerys-ii-targaryen,gerold-hightower,Undirected,3,1
aerys-ii-targaryen,jaime-lannister,Undirected,5,1
aerys-ii-targaryen,jon-arryn,Undirected,3,1
aerys-ii-targaryen,robert-baratheon,Undirected,12,1
aggo,daenerys-targaryen,Undirected,11,1
aggo,drogo,Undirected,6,1
aggo,jhogo,Undirected,4,1
aggo,jorah-mormont,Undirected,5,1
aggo,quaro,Undirected,3,1
aggo,rakharo,Undirected,7,1
albett,halder,Undirected,3,1
albett,jon-snow,Undirected,5,1
albett,rast,Undirected,3,1
alliser-thorne,bowen-marsh,Undirected,3,1
alliser-thorne,grenn,Undirected,3,1
alliser-thorne,halder,Undirected,4,1
alliser-thorne,jeor-mormont,Undirected,10,1
alliser-thorne,jon-snow,Undirected,32,1
alliser-thorne,pypar,Undirected,4,1
alliser-thorne,rast,Undirected,5,1
alliser-thorne,samwell-tarly,Undirected,8,1
alliser-thorne,tyrion-lannister,Undirected,7,1
alyn,eddard-stark,Undirected,11,1
alyn,harwin,Undirected,6,1
alyn,jory-cassel,Undirected,8,1
alyn,robert-baratheon,Undirected,4,1
alyn,tomard,Undirected,3,1
arthur-dayne,gerold-hightower,Undirected,4,1
arya-stark,benjen-stark,Undirected,3,1
arya-stark,bran-stark,Undirected,14,1
arya-stark,catelyn-stark,Undirected,5,1
arya-stark,cersei-lannister,Undirected,12,1
arya-stark,desmond,Undirected,3,1
arya-stark,eddard-stark,Undirected,30,1
arya-stark,ilyn-payne,Undirected,5,1
arya-stark,jeyne-poole,Undirected,10,1
arya-stark,joffrey-baratheon,Undirected,39,1
arya-stark,jon-snow,Undirected,37,1
arya-stark,jory-cassel,Undirected,12,1
arya-stark,meryn-trant,Undirected,4,1
arya-stark,mordane,Undirected,39,1
arya-stark,mycah,Undirected,18,1
arya-stark,myrcella-baratheon,Undirected,13,1
arya-stark,petyr-baelish,Undirected,3,1
arya-stark,rickon-stark,Undirected,7,1
arya-stark,robb-stark,Undirected,15,1
arya-stark,robert-baratheon,Undirected,8,1
arya-stark,rodrik-cassel,Undirected,3,1
arya-stark,sandor-clegane,Undirected,7,1
arya-stark,sansa-stark,Undirected,104,1
arya-stark,syrio-forel,Undirected,20,1
arya-stark,tomard,Undirected,6,1
arya-stark,tommen-baratheon,Undirected,5,1
arya-stark,vayon-poole,Undirected,4,1
arya-stark,yoren,Undirected,4,1
arys-oakheart,cersei-lannister,Undirected,3,1
balon-greyjoy,eddard-stark,Undirected,3,1
balon-greyjoy,robert-baratheon,Undirected,4,1
balon-swann,renly-baratheon,Undirected,3,1
balon-swann,sandor-clegane,Undirected,3,1
barristan-selmy,boros-blount,Undirected,3,1
barristan-selmy,cersei-lannister,Undirected,12,1
barristan-selmy,eddard-stark,Undirected,28,1
barristan-selmy,jaime-lannister,Undirected,4,1
barristan-selmy,joffrey-baratheon,Undirected,6,1
barristan-selmy,jon-arryn,Undirected,4,1
barristan-selmy,meryn-trant,Undirected,3,1
barristan-selmy,petyr-baelish,Undirected,7,1
barristan-selmy,pycelle,Undirected,8,1
barristan-selmy,renly-baratheon,Undirected,13,1
barristan-selmy,robert-baratheon,Undirected,40,1
barristan-selmy,sandor-clegane,Undirected,3,1
barristan-selmy,sansa-stark,Undirected,3,1
barristan-selmy,varys,Undirected,9,1
benjen-stark,bran-stark,Undirected,6,1
benjen-stark,cersei-lannister,Undirected,3,1
benjen-stark,jaremy-rykker,Undirected,3,1
benjen-stark,jeor-mormont,Undirected,9,1
benjen-stark,jon-snow,Undirected,41,1
benjen-stark,luwin,Undirected,7,1
benjen-stark,mance-rayder,Undirected,3,1
benjen-stark,robb-stark,Undirected,7,1
benjen-stark,robert-baratheon,Undirected,3,1
benjen-stark,theon-greyjoy,Undirected,4,1
benjen-stark,tyrion-lannister,Undirected,8,1
benjen-stark,waymar-royce,Undirected,3,1
benjen-stark,yoren,Undirected,4,1
beric-dondarrion,eddard-stark,Undirected,3,1
beric-dondarrion,gregor-clegane,Undirected,6,1
beric-dondarrion,loras-tyrell,Undirected,5,1
beric-dondarrion,robert-baratheon,Undirected,5,1
beric-dondarrion,sansa-stark,Undirected,4,1
beric-dondarrion,thoros-of-myr,Undirected,5,1
boros-blount,cersei-lannister,Undirected,9,1
boros-blount,joffrey-baratheon,Undirected,3,1
boros-blount,meryn-trant,Undirected,5,1
boros-blount,sansa-stark,Undirected,6,1
bowen-marsh,jeor-mormont,Undirected,8,1
bowen-marsh,jon-snow,Undirected,10,1
bowen-marsh,samwell-tarly,Undirected,3,1
bran-stark,catelyn-stark,Undirected,18,1
bran-stark,cersei-lannister,Undirected,6,1
bran-stark,eddard-stark,Undirected,19,1
bran-stark,hali,Undirected,3,1
bran-stark,hallis-mollen,Undirected,3,1
bran-stark,hodor,Undirected,29,1
bran-stark,hullen,Undirected,3,1
bran-stark,jeor-mormont,Undirected,4,1
bran-stark,joffrey-baratheon,Undirected,3,1
bran-stark,jon-arryn,Undirected,7,1
bran-stark,jon-snow,Undirected,56,1
bran-stark,jory-cassel,Undirected,11,1
bran-stark,joseth,Undirected,4,1
bran-stark,luwin,Undirected,65,1
bran-stark,nan,Undirected,17,1
bran-stark,osha,Undirected,12,1
bran-stark,petyr-baelish,Undirected,3,1
bran-stark,renly-baratheon,Undirected,3,1
bran-stark,rickard-karstark,Undirected,4,1
bran-stark,rickard-stark,Undirected,4,1
bran-stark,rickon-stark,Undirected,32,1
bran-stark,robb-stark,Undirected,112,1
bran-stark,robert-baratheon,Undirected,11,1
bran-stark,rodrik-cassel,Undirected,6,1
bran-stark,sansa-stark,Undirected,10,1
bran-stark,stiv,Undirected,4,1
bran-stark,theon-greyjoy,Undirected,23,1
bran-stark,tommen-baratheon,Undirected,5,1
bran-stark,tyrion-lannister,Undirected,31,1
bran-stark,yoren,Undirected,3,1
brandon-stark,eddard-stark,Undirected,11,1
brandon-stark,lyanna-stark,Undirected,4,1
brandon-stark,petyr-baelish,Undirected,14,1
brandon-stark,rickard-stark,Undirected,3,1
brandon-stark,robert-baratheon,Undirected,5,1
bronn,catelyn-stark,Undirected,6,1
bronn,chiggen,Undirected,8,1
bronn,marillion,Undirected,4,1
bronn,rodrik-cassel,Undirected,4,1
bronn,shae,Undirected,3,1
bronn,shagga,Undirected,3,1
bronn,tyrion-lannister,Undirected,61,1
bronn,tywin-lannister,Undirected,4,1
bronn,vardis-egen,Undirected,11,1
bronn,willis-wode,Undirected,5,1
brynden-tully,catelyn-stark,Undirected,16,1
brynden-tully,edmure-tully,Undirected,3,1
brynden-tully,hoster-tully,Undirected,5,1
brynden-tully,jaime-lannister,Undirected,7,1
brynden-tully,lysa-arryn,Undirected,10,1
brynden-tully,nestor-royce,Undirected,3,1
brynden-tully,robb-stark,Undirected,9,1
brynden-tully,theon-greyjoy,Undirected,6,1
brynden-tully,tyrion-lannister,Undirected,4,1
brynden-tully,tywin-lannister,Undirected,3,1
brynden-tully,walder-frey,Undirected,3,1
catelyn-stark,cersei-lannister,Undirected,12,1
catelyn-stark,colemon,Undirected,3,1
catelyn-stark,donnel-waynwood,Undirected,3,1
catelyn-stark,eddard-stark,Undirected,64,1
catelyn-stark,edmure-tully,Undirected,7,1
catelyn-stark,eon-hunter,Undirected,3,1
catelyn-stark,hallis-mollen,Undirected,10,1
catelyn-stark,hoster-tully,Undirected,6,1
catelyn-stark,jaime-lannister,Undirected,9,1
catelyn-stark,joffrey-baratheon,Undirected,4,1
catelyn-stark,jon-arryn,Undirected,11,1
catelyn-stark,jon-snow,Undirected,14,1
catelyn-stark,jon-umber-(greatjon),Undirected,4,1
catelyn-stark,luwin,Undirected,14,1
catelyn-stark,lysa-arryn,Undirected,33,1
catelyn-stark,marillion,Undirected,6,1
catelyn-stark,masha-heddle,Undirected,5,1
catelyn-stark,moreo-tumitis,Undirected,3,1
